customer_id,age,gender,income_bracket,occupation,city_tier,join_date,churn_flag
96,24,Female,Low,Salaried,Tier 1,2025-06-07,No
97,26,Male,High,Business,Tier 1,2023-08-05,No
98,41,Male,Medium,Student,Tier 1,2022-04-19,No
99,18,Male,Medium,Self-Employed,Tier 1,2022-03-27,Yes
100,61,Male,Medium,Business,Tier 1,2021-07-28,No
101,25,Female,High,Student,Tier 2,2025-05-05,Yes
102,41,Male,Medium,Student,Tier 3,2022-09-26,No
103,28,Female,Medium,Unemployed,Tier 2,2021-06-14,No
104,34,Male,Low,Unemployed,Tier 2,2024-02-16,No
105,25,Female,Medium,Unemployed,Tier 3,2023-12-28,No
106,52,Female,Medium,Self-Employed,Tier 1,2021-05-07,No
107,52,Male,Medium,Self-Employed,Tier 1,2020-10-04,No
108,50,Male,High,Student,Tier 2,2022-09-25,No
109,22,Female,High,Self-Employed,Tier 2,2023-10-01,No
110,59,Female,Low,Student,Tier 1,2024-05-21,Yes
111,56,Female,Low,Business,Tier 2,2023-06-15,No
112,58,Male,Low,Salaried,Tier 1,2023-03-06,No
113,45,Male,Medium,Student,Tier 2,2023-04-01,No
114,24,Female,Low,Student,Tier 2,2022-04-18,No
115,26,Male,Low,Business,Tier 3,2022-04-26,Yes
116,25,Female,Low,Unemployed,Tier 3,2022-06-18,No
117,29,Male,Low,Unemployed,Tier 2,2020-10-19,Yes
118,51,Male,Low,Unemployed,Tier 1,2022-11-17,No
119,50,Male,Low,Student,Tier 2,2020-09-12,No
120,40,Male,Medium,Student,Tier 1,2022-06-23,Yes
121,41,Male,Low,Self-Employed,Tier 3,2024-12-31,No
122,54,Female,Low,Self-Employed,Tier 3,2024-07-05,No
123,52,Female,High,Salaried,Tier 2,2024-11-10,Yes
124,61,Male,High,Salaried,Tier 3,2024-11-13,No
125,57,Female,Low,Self-Employed,Tier 2,2021-10-26,No
126,39,Female,Low,Student,Tier 1,2020-09-21,No
127,44,Male,Medium,Business,Tier 2,2025-06-03,No
128,52,Female,Low,Self-Employed,Tier 2,2024-05-06,No
129,18,Male,Low,Student,Tier 3,2024-02-13,Yes
130,52,Female,Low,Self-Employed,Tier 1,2021-02-04,Yes
131,54,Female,Low,Unemployed,Tier 3,2021-04-04,No
132,64,Female,Medium,Self-Employed,Tier 2,2022-02-15,No
133,31,Female,High,Unemployed,Tier 3,2024-05-08,No
134,20,Female,Medium,Student,Tier 1,2023-03-02,No
135,18,Female,Medium,Unemployed,Tier 2,2022-10-17,No
136,22,Female,Medium,Self-Employed,Tier 3,2023-04-29,No
137,43,Male,Medium,Unemployed,Tier 2,2023-02-21,No
138,31,Male,Medium,Business,Tier 1,2023-12-25,No
139,56,Male,Low,Unemployed,Tier 2,2023-05-26,No
140,44,Male,Medium,Unemployed,Tier 3,2025-03-15,No
141,26,Female,High,Salaried,Tier 2,2021-02-06,No
142,32,Female,Low,Business,Tier 2,2022-09-21,No
143,32,Female,High,Student,Tier 3,2023-09-07,No
144,43,Male,Medium,Unemployed,Tier 2,2020-10-27,No
145,59,Male,Medium,Business,Tier 3,2022-12-30,No
146,30,Male,Low,Student,Tier 2,2025-06-15,No
147,49,Female,Medium,Business,Tier 1,2020-08-01,No
148,56,Male,High,Salaried,Tier 1,2022-05-23,No
149,49,Female,Medium,Student,Tier 1,2024-04-17,No
150,21,Male,Low,Student,Tier 2,2021-01-08,No
151,47,Female,Low,Unemployed,Tier 2,2023-09-21,No
152,54,Male,Medium,Self-Employed,Tier 3,2023-04-09,No
153,40,Female,Medium,Student,Tier 3,2020-12-09,No
154,56,Male,Medium,Student,Tier 1,2024-01-19,No
155,62,Male,High,Salaried,Tier 2,2022-05-11,No
156,32,Female,Medium,Salaried,Tier 2,2023-12-04,No
157,60,Female,Medium,Salaried,Tier 1,2020-10-27,No
158,46,Male,Low,Unemployed,Tier 2,2024-02-28,No
159,53,Female,Low,Student,Tier 1,2023-08-07,No
160,30,Male,Medium,Salaried,Tier 1,2022-01-18,No
161,49,Female,High,Salaried,Tier 1,2025-02-15,No
162,24,Male,Medium,Business,Tier 3,2021-03-12,Yes
163,39,Female,Medium,Business,Tier 2,2020-04-11,No
164,45,Male,Low,Salaried,Tier 2,2020-01-10,No
165,19,Male,High,Unemployed,Tier 2,2022-11-30,No
166,59,Male,High,Self-Employed,Tier 1,2021-01-04,No
167,62,Female,Medium,Business,Tier 1,2020-05-05,Yes
168,23,Male,Low,Business,Tier 1,2022-02-23,No
169,45,Female,Medium,Student,Tier 1,2021-01-17,No
170,45,Female,High,Student,Tier 3,2020-11-22,No
171,61,Female,Medium,Salaried,Tier 2,2021-03-25,No
172,61,Male,Medium,Student,Tier 1,2021-06-06,No
173,37,Female,Low,Student,Tier 1,2025-01-28,No
174,47,Female,Low,Self-Employed,Tier 2,2022-10-06,No
175,28,Female,Low,Unemployed,Tier 2,2024-09-26,Yes
176,45,Male,High,Salaried,Tier 2,2022-07-30,No
177,42,Female,Medium,Self-Employed,Tier 1,2024-04-04,No
178,56,Female,Medium,Salaried,Tier 2,2025-04-16,No
179,50,Female,Low,Unemployed,Tier 1,2022-09-09,No
180,18,Female,High,Salaried,Tier 3,2020-09-29,No
181,44,Male,High,Student,Tier 1,2021-05-16,No
182,30,Male,Low,Unemployed,Tier 1,2024-11-05,Yes
183,58,Female,High,Self-Employed,Tier 2,2024-02-19,Yes
184,20,Female,Low,Self-Employed,Tier 1,2025-05-05,No
185,56,Female,Low,Business,Tier 2,2023-06-04,No
186,23,Female,Low,Self-Employed,Tier 1,2023-06-04,No
187,25,Male,High,Business,Tier 1,2022-05-15,No
188,44,Male,High,Student,Tier 3,2020-12-06,No
189,26,Male,Low,Self-Employed,Tier 1,2020-09-28,Yes
190,54,Male,Medium,Unemployed,Tier 1,2024-12-19,No
191,50,Female,Medium,Business,Tier 1,2021-01-29,No
192,59,Female,High,Self-Employed,Tier 3,2023-02-21,No
193,61,Male,Low,Student,Tier 2,2022-06-28,Yes
194,41,Male,Medium,Unemployed,Tier 3,2020-07-13,No
195,32,Female,Medium,Unemployed,Tier 3,2024-05-25,No
196,49,Female,Low,Student,Tier 3,2024-11-02,No
197,49,Female,Low,Self-Employed,Tier 2,2023-04-11,Yes
198,41,Female,Medium,Salaried,Tier 3,2023-05-11,No
199,58,Female,Low,Self-Employed,Tier 2,2022-11-22,No
200,29,Male,High,Business,Tier 3,2020-07-29,No
201,56,Male,Low,Business,Tier 3,2022-03-23,No
202,19,Female,High,Self-Employed,Tier 2,2021-11-24,Yes
203,20,Female,Low,Business,Tier 1,2022-01-22,No
204,54,Male,Low,Salaried,Tier 2,2022-09-27,No
205,34,Female,Low,Salaried,Tier 2,2022-12-10,No
206,19,Male,Medium,Unemployed,Tier 2,2025-03-21,No
207,19,Male,Medium,Business,Tier 3,2022-06-10,Yes
208,45,Male,Low,Self-Employed,Tier 2,2025-02-21,No
209,40,Male,Low,Unemployed,Tier 1,2023-12-01,No
210,54,Female,Medium,Salaried,Tier 2,2021-06-24,No
211,49,Female,Medium,Unemployed,Tier 2,2021-06-01,No
212,50,Male,Medium,Student,Tier 3,2022-07-23,No
213,18,Female,Low,Business,Tier 2,2020-05-12,No
214,36,Female,Medium,Self-Employed,Tier 1,2020-04-05,No
215,19,Female,Medium,Salaried,Tier 1,2021-02-27,Yes
216,61,Female,High,Unemployed,Tier 1,2022-05-07,Yes
217,43,Male,Medium,Self-Employed,Tier 1,2022-08-31,Yes
218,49,Female,Low,Business,Tier 3,2020-03-22,No
219,23,Male,Low,Self-Employed,Tier 1,2022-02-27,No
220,49,Male,Medium,Business,Tier 1,2020-11-10,No
221,21,Female,Medium,Business,Tier 3,2024-10-18,Yes
222,28,Male,High,Business,Tier 2,2022-07-04,No
223,34,Female,Medium,Unemployed,Tier 1,2023-07-27,No
224,55,Female,Medium,Business,Tier 2,2024-07-24,No
225,41,Male,Medium,Self-Employed,Tier 1,2023-01-14,No
226,22,Female,Medium,Student,Tier 2,2025-02-06,Yes
227,51,Male,Low,Self-Employed,Tier 3,2020-12-31,No
228,23,Male,Low,Unemployed,Tier 3,2025-01-22,No
229,39,Female,Medium,Business,Tier 1,2020-12-31,No
230,28,Female,Low,Student,Tier 1,2023-01-21,No
231,33,Female,Low,Unemployed,Tier 2,2020-03-11,No
232,50,Male,Low,Salaried,Tier 1,2020-11-21,Yes
233,26,Female,Low,Salaried,Tier 2,2024-03-10,No
234,23,Male,Low,Salaried,Tier 1,2023-09-11,No
235,33,Male,Medium,Student,Tier 2,2022-04-23,No
236,46,Female,Medium,Self-Employed,Tier 3,2023-04-29,No
237,20,Female,Medium,Student,Tier 3,2020-08-01,No
238,37,Female,Medium,Student,Tier 3,2022-12-06,No
239,53,Male,High,Student,Tier 1,2024-10-19,No
240,36,Female,Low,Salaried,Tier 2,2020-03-29,Yes
241,43,Male,Medium,Self-Employed,Tier 2,2024-12-15,No
242,20,Female,Low,Student,Tier 3,2022-09-22,No
243,36,Female,Medium,Self-Employed,Tier 3,2023-06-04,Yes
244,37,Male,High,Business,Tier 3,2023-11-21,No
245,49,Male,Medium,Student,Tier 3,2020-08-04,No
246,24,Female,Medium,Student,Tier 2,2024-11-10,No
247,58,Female,Medium,Student,Tier 2,2020-10-27,No
248,50,Female,Medium,Business,Tier 3,2023-12-10,No
249,57,Female,Low,Business,Tier 2,2022-07-14,Yes
250,56,Female,Medium,Salaried,Tier 3,2022-05-02,No
251,35,Male,Medium,Unemployed,Tier 3,2022-06-12,No
252,57,Male,Low,Self-Employed,Tier 2,2020-06-18,No
253,18,Male,Low,Unemployed,Tier 1,2023-10-20,No
254,28,Male,High,Student,Tier 1,2023-06-09,No
255,45,Female,Low,Student,Tier 1,2021-09-11,Yes
256,42,Male,Low,Salaried,Tier 2,2023-09-13,No
257,40,Male,Medium,Unemployed,Tier 2,2023-06-10,No
258,48,Male,Low,Student,Tier 2,2021-11-12,No
259,47,Female,Medium,Unemployed,Tier 2,2024-07-28,No
260,59,Male,Medium,Salaried,Tier 3,2021-10-04,No
261,52,Female,Medium,Unemployed,Tier 1,2020-02-06,No
262,24,Male,Low,Self-Employed,Tier 3,2022-02-09,No
263,33,Female,Medium,Salaried,Tier 1,2023-11-26,No
264,43,Male,High,Unemployed,Tier 2,2022-10-07,No
265,19,Female,Low,Student,Tier 2,2021-09-27,No
266,18,Male,Low,Business,Tier 3,2021-03-01,No
267,29,Female,High,Business,Tier 2,2025-04-12,No
268,22,Female,Low,Salaried,Tier 1,2025-05-30,No
269,54,Male,Low,Business,Tier 1,2021-02-11,Yes
270,49,Female,Low,Self-Employed,Tier 1,2022-02-13,Yes
271,26,Female,Low,Salaried,Tier 2,2022-05-14,No
272,58,Male,Low,Student,Tier 2,2020-08-04,No
273,52,Male,Medium,Student,Tier 2,2020-06-18,No
274,36,Female,Medium,Salaried,Tier 3,2021-09-01,No
275,33,Male,Low,Business,Tier 3,2020-12-23,No
276,20,Male,High,Business,Tier 2,2020-07-04,No
277,37,Male,Medium,Student,Tier 1,2021-12-25,No
278,41,Female,High,Self-Employed,Tier 3,2022-05-19,No
279,50,Female,High,Business,Tier 2,2022-04-03,No
280,41,Female,Medium,Self-Employed,Tier 2,2024-11-02,No
281,28,Female,High,Business,Tier 2,2025-05-31,No
282,25,Female,Medium,Salaried,Tier 2,2025-04-21,No
283,53,Female,High,Unemployed,Tier 3,2021-11-09,No
284,55,Female,Low,Student,Tier 3,2025-01-15,No
285,57,Male,Low,Salaried,Tier 3,2023-03-30,No
286,37,Female,Medium,Business,Tier 3,2020-10-10,No
287,52,Female,Medium,Student,Tier 3,2020-07-02,No
288,42,Male,High,Unemployed,Tier 1,2024-04-09,No
289,52,Male,High,Unemployed,Tier 3,2020-05-21,No
290,42,Male,Low,Business,Tier 1,2024-09-14,Yes
291,46,Female,High,Student,Tier 2,2024-06-07,No
292,35,Male,Low,Business,Tier 1,2020-08-18,No
293,63,Female,Low,Unemployed,Tier 1,2024-01-31,No
294,35,Female,Medium,Salaried,Tier 1,2025-04-10,No
295,19,Female,Low,Salaried,Tier 2,2021-01-22,No
296,52,Male,Medium,Self-Employed,Tier 2,2022-01-04,Yes
297,33,Male,Medium,Unemployed,Tier 1,2020-06-06,No
298,58,Female,Low,Unemployed,Tier 3,2023-09-03,No
299,53,Female,Medium,Business,Tier 3,2023-04-23,No
300,50,Female,Medium,Self-Employed,Tier 3,2023-12-15,No
301,21,Male,Low,Self-Employed,Tier 3,2023-04-21,No
302,50,Female,Low,Student,Tier 3,2024-06-08,No
303,31,Male,High,Business,Tier 3,2021-07-30,No
304,38,Female,High,Salaried,Tier 2,2022-12-11,No
305,37,Male,Low,Student,Tier 2,2022-10-23,No
306,25,Female,Low,Self-Employed,Tier 3,2020-03-17,No
307,24,Male,High,Salaried,Tier 1,2024-07-28,Yes
308,20,Male,Medium,Unemployed,Tier 1,2025-02-04,No
309,34,Male,Low,Business,Tier 2,2021-08-04,No
310,50,Male,Medium,Self-Employed,Tier 1,2024-08-24,No
311,29,Male,Medium,Unemployed,Tier 2,2021-08-30,No
312,39,Male,Medium,Self-Employed,Tier 1,2022-11-05,No
313,39,Female,Low,Salaried,Tier 3,2020-08-17,Yes
314,63,Female,Medium,Student,Tier 3,2022-06-22,No
315,47,Female,Low,Salaried,Tier 1,2022-07-05,No
316,55,Female,High,Business,Tier 1,2022-06-07,No
317,55,Male,Medium,Business,Tier 1,2023-07-14,Yes
318,62,Female,Medium,Self-Employed,Tier 2,2023-08-22,No
319,25,Male,Medium,Salaried,Tier 2,2025-02-21,No
320,44,Male,Medium,Student,Tier 2,2022-10-26,No
321,44,Male,High,Business,Tier 1,2023-02-07,No
322,51,Female,Low,Student,Tier 2,2020-05-22,No
323,38,Male,High,Unemployed,Tier 1,2025-04-14,Yes
324,47,Female,Low,Self-Employed,Tier 2,2024-08-17,Yes
325,50,Female,Low,Student,Tier 1,2020-07-25,No
326,45,Female,Medium,Self-Employed,Tier 2,2021-03-04,No
327,64,Female,Medium,Unemployed,Tier 1,2020-06-14,No
328,50,Female,High,Student,Tier 1,2020-09-16,No
329,22,Male,Medium,Student,Tier 1,2025-06-20,Yes
330,36,Male,Medium,Unemployed,Tier 2,2024-09-04,No
331,21,Female,High,Salaried,Tier 2,2021-01-28,No
332,52,Male,Low,Student,Tier 3,2020-04-30,No
333,34,Female,High,Student,Tier 1,2022-08-07,No
334,61,Male,Medium,Business,Tier 1,2021-02-16,No
335,45,Male,Low,Salaried,Tier 1,2023-03-09,No
336,47,Male,Low,Student,Tier 1,2025-05-29,No
337,46,Male,Medium,Unemployed,Tier 1,2020-06-16,Yes
338,63,Male,Low,Self-Employed,Tier 1,2023-01-12,No
339,23,Male,Low,Unemployed,Tier 2,2021-02-24,No
340,52,Male,Low,Salaried,Tier 2,2024-09-25,No
341,58,Male,Low,Business,Tier 3,2022-02-26,No
342,54,Male,Medium,Business,Tier 1,2020-09-24,Yes
343,41,Male,High,Business,Tier 2,2020-02-07,No
344,46,Male,Low,Unemployed,Tier 3,2022-07-14,No
345,63,Male,Medium,Self-Employed,Tier 1,2023-08-19,No
346,48,Male,Low,Self-Employed,Tier 3,2020-12-03,No
347,52,Female,Medium,Student,Tier 3,2024-11-12,No
348,50,Male,High,Self-Employed,Tier 3,2020-11-25,Yes
349,38,Male,Medium,Self-Employed,Tier 2,2020-07-17,No
350,49,Male,High,Student,Tier 2,2022-03-20,No
351,40,Male,Medium,Unemployed,Tier 2,2020-01-05,No
352,50,Male,Medium,Unemployed,Tier 1,2023-12-26,Yes
353,20,Male,Medium,Salaried,Tier 3,2022-09-15,No
354,35,Female,High,Unemployed,Tier 2,2023-10-26,No
355,42,Female,High,Business,Tier 3,2022-06-13,No
356,59,Female,Medium,Business,Tier 1,2025-03-05,No
357,48,Male,High,Salaried,Tier 1,2020-04-12,No
358,20,Male,Low,Self-Employed,Tier 2,2021-03-10,Yes
359,57,Male,High,Salaried,Tier 2,2025-04-15,Yes
360,63,Female,Low,Student,Tier 1,2021-10-11,No
361,41,Male,Low,Salaried,Tier 2,2025-01-02,Yes
362,49,Male,Low,Salaried,Tier 1,2021-01-15,Yes
363,64,Female,High,Business,Tier 2,2020-03-06,No
364,39,Female,High,Student,Tier 2,2021-08-01,No
365,40,Male,High,Student,Tier 1,2020-09-26,No
366,19,Male,High,Salaried,Tier 2,2020-02-16,No
367,44,Male,Medium,Student,Tier 1,2022-07-04,Yes
368,59,Male,High,Student,Tier 2,2020-12-30,No
369,19,Female,High,Unemployed,Tier 1,2025-03-19,No
370,43,Male,Medium,Student,Tier 3,2023-04-18,No
371,34,Male,Low,Self-Employed,Tier 1,2020-03-08,No
372,57,Female,Medium,Student,Tier 2,2023-02-12,Yes
373,50,Male,High,Business,Tier 2,2022-11-15,No
374,26,Male,High,Unemployed,Tier 1,2024-05-01,No
375,60,Female,High,Business,Tier 1,2020-07-25,No
376,56,Female,High,Business,Tier 1,2020-03-13,No
377,46,Male,High,Self-Employed,Tier 1,2023-07-06,No
378,59,Female,Medium,Unemployed,Tier 2,2023-11-10,No
379,43,Female,Medium,Salaried,Tier 2,2025-05-14,No
380,52,Male,Low,Student,Tier 1,2020-01-30,No
381,42,Female,Medium,Self-Employed,Tier 2,2023-12-15,No
382,41,Male,Medium,Self-Employed,Tier 3,2022-10-23,No
383,30,Male,High,Salaried,Tier 3,2024-03-24,No
384,24,Male,Medium,Self-Employed,Tier 1,2024-03-23,Yes
385,53,Male,Low,Salaried,Tier 1,2021-06-04,No
386,62,Female,Low,Salaried,Tier 2,2022-06-06,No
387,37,Male,Medium,Salaried,Tier 1,2021-02-04,No
388,18,Male,Medium,Self-Employed,Tier 1,2024-08-14,No
389,25,Male,Low,Salaried,Tier 1,2025-06-14,No
390,63,Male,Low,Self-Employed,Tier 1,2021-10-15,No
391,33,Female,Medium,Unemployed,Tier 2,2022-08-07,No
392,31,Female,Low,Salaried,Tier 2,2022-04-27,No
393,29,Female,Low,Self-Employed,Tier 1,2023-07-21,Yes
394,40,Male,Low,Self-Employed,Tier 2,2024-02-04,No
395,32,Female,Medium,Self-Employed,Tier 2,2022-07-23,Yes
396,45,Female,Medium,Student,Tier 2,2023-10-27,No
397,51,Male,Low,Student,Tier 3,2021-03-06,No
398,19,Female,High,Salaried,Tier 3,2021-06-22,No
399,49,Male,Low,Unemployed,Tier 2,2023-10-03,No
400,40,Female,Low,Salaried,Tier 3,2020-03-11,No
401,39,Female,Low,Business,Tier 1,2024-02-14,No
402,42,Female,Low,Business,Tier 2,2024-10-20,Yes
403,39,Female,Low,Unemployed,Tier 2,2024-12-30,No
404,39,Male,Low,Unemployed,Tier 2,2020-09-12,No
405,59,Male,Medium,Unemployed,Tier 1,2023-01-31,No
406,23,Female,Medium,Student,Tier 1,2020-05-26,No
407,32,Male,Medium,Student,Tier 1,2022-06-20,Yes
408,60,Female,Medium,Business,Tier 2,2021-10-31,No
409,54,Female,Low,Unemployed,Tier 3,2025-02-26,No
410,50,Female,High,Self-Employed,Tier 1,2020-05-19,No
411,25,Female,Low,Business,Tier 3,2021-10-16,No
412,61,Female,Medium,Unemployed,Tier 1,2021-09-12,Yes
413,61,Female,Low,Self-Employed,Tier 3,2023-12-17,Yes
414,22,Male,High,Unemployed,Tier 3,2022-05-20,No
415,56,Male,Medium,Salaried,Tier 1,2025-01-29,Yes
416,21,Female,Low,Self-Employed,Tier 1,2020-03-04,Yes
417,23,Male,Medium,Salaried,Tier 1,2023-07-18,No
418,62,Female,Low,Student,Tier 3,2024-09-17,No
419,49,Male,Medium,Business,Tier 2,2022-05-17,No
420,47,Male,Medium,Unemployed,Tier 2,2022-04-14,No
421,64,Male,Low,Business,Tier 1,2021-05-27,No
422,52,Female,Low,Unemployed,Tier 3,2022-10-27,No
423,57,Male,Low,Salaried,Tier 1,2023-11-17,No
424,33,Female,Medium,Self-Employed,Tier 1,2022-10-21,No
425,30,Female,Low,Self-Employed,Tier 1,2023-07-08,No
426,59,Female,Medium,Unemployed,Tier 2,2020-02-16,Yes
427,47,Male,High,Salaried,Tier 1,2022-05-17,No
428,36,Male,Low,Unemployed,Tier 2,2022-02-16,Yes
429,34,Male,High,Unemployed,Tier 1,2022-10-22,Yes
430,36,Female,Medium,Unemployed,Tier 2,2021-06-18,No
431,45,Female,Low,Self-Employed,Tier 2,2020-12-24,No
432,43,Male,Medium,Unemployed,Tier 1,2024-02-09,No
433,54,Female,Medium,Self-Employed,Tier 1,2025-05-29,Yes
434,43,Male,Medium,Student,Tier 2,2025-04-22,No
435,40,Male,Low,Salaried,Tier 1,2023-12-16,No
436,26,Male,Low,Student,Tier 1,2022-03-25,No
437,29,Male,Medium,Unemployed,Tier 2,2021-08-18,Yes
438,18,Female,Medium,Self-Employed,Tier 1,2020-07-22,No
439,18,Male,Medium,Salaried,Tier 2,2022-08-28,No
440,64,Male,Low,Business,Tier 1,2020-08-14,Yes
441,51,Male,High,Salaried,Tier 1,2022-08-05,No
442,49,Male,High,Salaried,Tier 3,2024-11-22,No
443,42,Male,Low,Unemployed,Tier 1,2022-03-27,Yes
444,57,Male,Low,Student,Tier 1,2025-06-13,Yes
445,62,Male,High,Student,Tier 2,2020-05-30,No
446,18,Female,High,Business,Tier 1,2023-06-24,No
447,33,Female,Medium,Unemployed,Tier 2,2025-01-15,No
448,56,Female,High,Salaried,Tier 3,2020-01-17,Yes
449,22,Female,Medium,Student,Tier 2,2020-10-30,Yes
450,39,Male,Low,Student,Tier 1,2025-03-27,No
451,46,Female,Medium,Self-Employed,Tier 2,2024-03-17,No
452,20,Female,Medium,Salaried,Tier 1,2023-05-05,No
453,29,Female,High,Unemployed,Tier 1,2024-01-09,No
454,43,Male,Low,Student,Tier 3,2023-09-26,No
455,33,Female,Medium,Unemployed,Tier 1,2022-02-19,No
456,54,Female,Medium,Salaried,Tier 1,2022-12-20,No
457,39,Male,Low,Salaried,Tier 1,2020-09-23,No
458,46,Female,Low,Student,Tier 3,2023-01-25,No
