customer_id,age,gender,income_bracket,income_range,occupation,city_tier,join_date,churn_flag,age_group
55,25,Male,High,8+ Lakh,Self-Employed,Tier 1,8/3/2024,Yes,Early Career
56,64,Female,High,8+ Lakh,Unemployed,Tier 1,11/24/2021,No,Pre-Retirement
57,52,Male,Medium,4-8 Lakh,Business,Tier 3,4/28/2020,No,Family Stage
58,31,Female,Medium,4-8 Lakh,Student,Tier 1,11/29/2022,No,Mid Career
59,34,Female,Medium,4-8 Lakh,Student,Tier 2,9/16/2020,No,Mid Career
60,53,Female,Low,2-4 Lakh,Business,Tier 1,8/6/2022,No,Family Stage
61,57,Male,Medium,4-8 Lakh,Student,Tier 1,1/25/2022,No,Pre-Retirement
62,21,Male,Low,2-4 Lakh,Self-Employed,Tier 2,7/22/2024,No,Student
63,19,Male,Medium,4-8 Lakh,Business,Tier 2,1/6/2020,Yes,Student
64,23,Female,Low,2-4 Lakh,Self-Employed,Tier 2,11/6/2020,No,Early Career
65,59,Female,Medium,4-8 Lakh,Business,Tier 3,3/6/2020,No,Pre-Retirement
66,21,Male,Medium,4-8 Lakh,Self-Employed,Tier 3,10/29/2023,No,Student
67,46,Female,Medium,4-8 Lakh,Self-Employed,Tier 3,12/31/2021,No,Family Stage
68,35,Male,High,8+ Lakh,Student,Tier 2,3/15/2023,No,Mid Career
69,43,Male,Medium,4-8 Lakh,Business,Tier 2,6/11/2023,No,Family Stage
70,61,Male,Medium,4-8 Lakh,Unemployed,Tier 2,1/29/2020,No,Pre-Retirement
71,51,Male,Medium,4-8 Lakh,Student,Tier 2,1/18/2025,No,Family Stage
72,27,Female,Low,2-4 Lakh,Self-Employed,Tier 2,8/23/2024,Yes,Early Career
73,53,Female,Medium,4-8 Lakh,Self-Employed,Tier 1,7/24/2024,No,Family Stage
74,31,Female,High,8+ Lakh,Unemployed,Tier 1,10/21/2021,No,Mid Career
75,48,Male,High,8+ Lakh,Unemployed,Tier 1,6/18/2022,No,Family Stage
76,32,Female,Medium,4-8 Lakh,Self-Employed,Tier 1,6/5/2024,No,Mid Career
77,25,Male,Low,2-4 Lakh,Unemployed,Tier 1,6/22/2022,No,Early Career
78,31,Male,Low,2-4 Lakh,Salaried,Tier 2,2/2/2024,No,Mid Career
79,40,Male,Medium,4-8 Lakh,Student,Tier 1,12/26/2020,No,Family Stage
80,57,Male,High,8+ Lakh,Business,Tier 2,2/20/2025,Yes,Pre-Retirement
81,38,Male,Medium,4-8 Lakh,Unemployed,Tier 3,6/6/2024,No,Mid Career
82,33,Male,High,8+ Lakh,Unemployed,Tier 1,5/1/2025,No,Mid Career
83,62,Female,Medium,4-8 Lakh,Salaried,Tier 1,8/19/2022,Yes,Pre-Retirement
84,35,Female,Low,2-4 Lakh,Business,Tier 1,5/27/2024,No,Mid Career
85,64,Female,Low,2-4 Lakh,Salaried,Tier 2,10/10/2023,No,Pre-Retirement
86,41,Female,Low,2-4 Lakh,Business,Tier 2,10/15/2024,No,Family Stage
87,43,Male,Medium,4-8 Lakh,Student,Tier 2,1/26/2020,No,Family Stage
88,42,Male,Low,2-4 Lakh,Unemployed,Tier 1,8/6/2023,No,Family Stage
89,62,Female,Medium,4-8 Lakh,Student,Tier 2,3/11/2020,Yes,Pre-Retirement
90,58,Female,Medium,4-8 Lakh,Business,Tier 3,2/28/2025,No,Pre-Retirement
91,46,Female,Low,2-4 Lakh,Unemployed,Tier 1,9/8/2024,No,Family Stage
92,32,Female,Low,2-4 Lakh,Salaried,Tier 3,1/17/2023,Yes,Mid Career
93,62,Female,Low,2-4 Lakh,Self-Employed,Tier 2,6/25/2020,No,Pre-Retirement
94,18,Female,Medium,4-8 Lakh,Salaried,Tier 1,6/15/2025,No,Student
95,42,Female,Medium,4-8 Lakh,Self-Employed,Tier 2,1/27/2020,Yes,Family Stage
96,24,Female,Low,2-4 Lakh,Salaried,Tier 1,6/7/2025,No,Early Career
97,26,Male,High,8+ Lakh,Business,Tier 1,8/5/2023,No,Early Career
98,41,Male,Medium,4-8 Lakh,Student,Tier 1,4/19/2022,No,Family Stage
99,18,Male,Medium,4-8 Lakh,Self-Employed,Tier 1,3/27/2022,Yes,Student
100,61,Male,Medium,4-8 Lakh,Business,Tier 1,7/28/2021,No,Pre-Retirement
101,25,Female,High,8+ Lakh,Student,Tier 2,5/5/2025,Yes,Early Career
102,41,Male,Medium,4-8 Lakh,Student,Tier 3,9/26/2022,No,Family Stage
103,28,Female,Medium,4-8 Lakh,Unemployed,Tier 2,6/14/2021,No,Early Career
104,34,Male,Low,2-4 Lakh,Unemployed,Tier 2,2/16/2024,No,Mid Career
105,25,Female,Medium,4-8 Lakh,Unemployed,Tier 3,12/28/2023,No,Early Career
106,52,Female,Medium,4-8 Lakh,Self-Employed,Tier 1,5/7/2021,No,Family Stage
107,52,Male,Medium,4-8 Lakh,Self-Employed,Tier 1,10/4/2020,No,Family Stage
108,50,Male,High,8+ Lakh,Student,Tier 2,9/25/2022,No,Family Stage
109,22,Female,High,8+ Lakh,Self-Employed,Tier 2,10/1/2023,No,Student
110,59,Female,Low,2-4 Lakh,Student,Tier 1,5/21/2024,Yes,Pre-Retirement
111,56,Female,Low,2-4 Lakh,Business,Tier 2,6/15/2023,No,Pre-Retirement
112,58,Male,Low,2-4 Lakh,Salaried,Tier 1,3/6/2023,No,Pre-Retirement
113,45,Male,Medium,4-8 Lakh,Student,Tier 2,4/1/2023,No,Family Stage
114,24,Female,Low,2-4 Lakh,Student,Tier 2,4/18/2022,No,Early Career
115,26,Male,Low,2-4 Lakh,Business,Tier 3,4/26/2022,Yes,Early Career
116,25,Female,Low,2-4 Lakh,Unemployed,Tier 3,6/18/2022,No,Early Career
117,29,Male,Low,2-4 Lakh,Unemployed,Tier 2,10/19/2020,Yes,Early Career
118,51,Male,Low,2-4 Lakh,Unemployed,Tier 1,11/17/2022,No,Family Stage
119,50,Male,Low,2-4 Lakh,Student,Tier 2,9/12/2020,No,Family Stage
120,40,Male,Medium,4-8 Lakh,Student,Tier 1,6/23/2022,Yes,Family Stage
121,41,Male,Low,2-4 Lakh,Self-Employed,Tier 3,12/31/2024,No,Family Stage
122,54,Female,Low,2-4 Lakh,Self-Employed,Tier 3,7/5/2024,No,Family Stage
123,52,Female,High,8+ Lakh,Salaried,Tier 2,11/10/2024,Yes,Family Stage
124,61,Male,High,8+ Lakh,Salaried,Tier 3,11/13/2024,No,Pre-Retirement
125,57,Female,Low,2-4 Lakh,Self-Employed,Tier 2,10/26/2021,No,Pre-Retirement
126,39,Female,Low,2-4 Lakh,Student,Tier 1,9/21/2020,No,Mid Career
127,44,Male,Medium,4-8 Lakh,Business,Tier 2,6/3/2025,No,Family Stage
128,52,Female,Low,2-4 Lakh,Self-Employed,Tier 2,5/6/2024,No,Family Stage
129,18,Male,Low,2-4 Lakh,Student,Tier 3,2/13/2024,Yes,Student
130,52,Female,Low,2-4 Lakh,Self-Employed,Tier 1,2/4/2021,Yes,Family Stage
131,54,Female,Low,2-4 Lakh,Unemployed,Tier 3,4/4/2021,No,Family Stage
132,64,Female,Medium,4-8 Lakh,Self-Employed,Tier 2,2/15/2022,No,Pre-Retirement
133,31,Female,High,8+ Lakh,Unemployed,Tier 3,5/8/2024,No,Mid Career
134,20,Female,Medium,4-8 Lakh,Student,Tier 1,3/2/2023,No,Student
135,18,Female,Medium,4-8 Lakh,Unemployed,Tier 2,10/17/2022,No,Student
136,22,Female,Medium,4-8 Lakh,Self-Employed,Tier 3,4/29/2023,No,Student
137,43,Male,Medium,4-8 Lakh,Unemployed,Tier 2,2/21/2023,No,Family Stage
138,31,Male,Medium,4-8 Lakh,Business,Tier 1,12/25/2023,No,Mid Career
139,56,Male,Low,2-4 Lakh,Unemployed,Tier 2,5/26/2023,No,Pre-Retirement
140,44,Male,Medium,4-8 Lakh,Unemployed,Tier 3,3/15/2025,No,Family Stage
141,26,Female,High,8+ Lakh,Salaried,Tier 2,2/6/2021,No,Early Career
142,32,Female,Low,2-4 Lakh,Business,Tier 2,9/21/2022,No,Mid Career
143,32,Female,High,8+ Lakh,Student,Tier 3,9/7/2023,No,Mid Career
144,43,Male,Medium,4-8 Lakh,Unemployed,Tier 2,10/27/2020,No,Family Stage
145,59,Male,Medium,4-8 Lakh,Business,Tier 3,12/30/2022,No,Pre-Retirement
146,30,Male,Low,2-4 Lakh,Student,Tier 2,6/15/2025,No,Mid Career
147,49,Female,Medium,4-8 Lakh,Business,Tier 1,8/1/2020,No,Family Stage
148,56,Male,High,8+ Lakh,Salaried,Tier 1,5/23/2022,No,Pre-Retirement
149,49,Female,Medium,4-8 Lakh,Student,Tier 1,4/17/2024,No,Family Stage
150,21,Male,Low,2-4 Lakh,Student,Tier 2,1/8/2021,No,Student
151,47,Female,Low,2-4 Lakh,Unemployed,Tier 2,9/21/2023,No,Family Stage
152,54,Male,Medium,4-8 Lakh,Self-Employed,Tier 3,4/9/2023,No,Family Stage
153,40,Female,Medium,4-8 Lakh,Student,Tier 3,12/9/2020,No,Family Stage
154,56,Male,Medium,4-8 Lakh,Student,Tier 1,1/19/2024,No,Pre-Retirement
155,62,Male,High,8+ Lakh,Salaried,Tier 2,5/11/2022,No,Pre-Retirement
156,32,Female,Medium,4-8 Lakh,Salaried,Tier 2,12/4/2023,No,Mid Career
157,60,Female,Medium,4-8 Lakh,Salaried,Tier 1,10/27/2020,No,Pre-Retirement
158,46,Male,Low,2-4 Lakh,Unemployed,Tier 2,2/28/2024,No,Family Stage
159,53,Female,Low,2-4 Lakh,Student,Tier 1,8/7/2023,No,Family Stage
160,30,Male,Medium,4-8 Lakh,Salaried,Tier 1,1/18/2022,No,Mid Career
161,49,Female,High,8+ Lakh,Salaried,Tier 1,2/15/2025,No,Family Stage
162,24,Male,Medium,4-8 Lakh,Business,Tier 3,3/12/2021,Yes,Early Career
163,39,Female,Medium,4-8 Lakh,Business,Tier 2,4/11/2020,No,Mid Career
164,45,Male,Low,2-4 Lakh,Salaried,Tier 2,1/10/2020,No,Family Stage
165,19,Male,High,8+ Lakh,Unemployed,Tier 2,11/30/2022,No,Student
166,59,Male,High,8+ Lakh,Self-Employed,Tier 1,1/4/2021,No,Pre-Retirement
167,62,Female,Medium,4-8 Lakh,Business,Tier 1,5/5/2020,Yes,Pre-Retirement
168,23,Male,Low,2-4 Lakh,Business,Tier 1,2/23/2022,No,Early Career
169,45,Female,Medium,4-8 Lakh,Student,Tier 1,1/17/2021,No,Family Stage
170,45,Female,High,8+ Lakh,Student,Tier 3,11/22/2020,No,Family Stage
171,61,Female,Medium,4-8 Lakh,Salaried,Tier 2,3/25/2021,No,Pre-Retirement
172,61,Male,Medium,4-8 Lakh,Student,Tier 1,6/6/2021,No,Pre-Retirement
173,37,Female,Low,2-4 Lakh,Student,Tier 1,1/28/2025,No,Mid Career
174,47,Female,Low,2-4 Lakh,Self-Employed,Tier 2,10/6/2022,No,Family Stage
175,28,Female,Low,2-4 Lakh,Unemployed,Tier 2,9/26/2024,Yes,Early Career
176,45,Male,High,8+ Lakh,Salaried,Tier 2,7/30/2022,No,Family Stage
177,42,Female,Medium,4-8 Lakh,Self-Employed,Tier 1,4/4/2024,No,Family Stage
178,56,Female,Medium,4-8 Lakh,Salaried,Tier 2,4/16/2025,No,Pre-Retirement
179,50,Female,Low,2-4 Lakh,Unemployed,Tier 1,9/9/2022,No,Family Stage
180,18,Female,High,8+ Lakh,Salaried,Tier 3,9/29/2020,No,Student
181,44,Male,High,8+ Lakh,Student,Tier 1,5/16/2021,No,Family Stage
182,30,Male,Low,2-4 Lakh,Unemployed,Tier 1,11/5/2024,Yes,Mid Career
183,58,Female,High,8+ Lakh,Self-Employed,Tier 2,2/19/2024,Yes,Pre-Retirement
184,20,Female,Low,2-4 Lakh,Self-Employed,Tier 1,5/5/2025,No,Student
185,56,Female,Low,2-4 Lakh,Business,Tier 2,6/4/2023,No,Pre-Retirement
186,23,Female,Low,2-4 Lakh,Self-Employed,Tier 1,6/4/2023,No,Early Career
187,25,Male,High,8+ Lakh,Business,Tier 1,5/15/2022,No,Early Career
188,44,Male,High,8+ Lakh,Student,Tier 3,12/6/2020,No,Family Stage
189,26,Male,Low,2-4 Lakh,Self-Employed,Tier 1,9/28/2020,Yes,Early Career
190,54,Male,Medium,4-8 Lakh,Unemployed,Tier 1,12/19/2024,No,Family Stage
191,50,Female,Medium,4-8 Lakh,Business,Tier 1,1/29/2021,No,Family Stage
192,59,Female,High,8+ Lakh,Self-Employed,Tier 3,2/21/2023,No,Pre-Retirement
193,61,Male,Low,2-4 Lakh,Student,Tier 2,6/28/2022,Yes,Pre-Retirement
194,41,Male,Medium,4-8 Lakh,Unemployed,Tier 3,7/13/2020,No,Family Stage
195,32,Female,Medium,4-8 Lakh,Unemployed,Tier 3,5/25/2024,No,Mid Career
196,49,Female,Low,2-4 Lakh,Student,Tier 3,11/2/2024,No,Family Stage
197,49,Female,Low,2-4 Lakh,Self-Employed,Tier 2,4/11/2023,Yes,Family Stage
198,41,Female,Medium,4-8 Lakh,Salaried,Tier 3,5/11/2023,No,Family Stage
199,58,Female,Low,2-4 Lakh,Self-Employed,Tier 2,11/22/2022,No,Pre-Retirement
200,29,Male,High,8+ Lakh,Business,Tier 3,7/29/2020,No,Early Career
201,56,Male,Low,2-4 Lakh,Business,Tier 3,3/23/2022,No,Pre-Retirement
202,19,Female,High,8+ Lakh,Self-Employed,Tier 2,11/24/2021,Yes,Student
203,20,Female,Low,2-4 Lakh,Business,Tier 1,1/22/2022,No,Student
204,54,Male,Low,2-4 Lakh,Salaried,Tier 2,9/27/2022,No,Family Stage
205,34,Female,Low,2-4 Lakh,Salaried,Tier 2,12/10/2022,No,Mid Career
206,19,Male,Medium,4-8 Lakh,Unemployed,Tier 2,3/21/2025,No,Student
207,19,Male,Medium,4-8 Lakh,Business,Tier 3,6/10/2022,Yes,Student
208,45,Male,Low,2-4 Lakh,Self-Employed,Tier 2,2/21/2025,No,Family Stage
209,40,Male,Low,2-4 Lakh,Unemployed,Tier 1,12/1/2023,No,Family Stage
210,54,Female,Medium,4-8 Lakh,Salaried,Tier 2,6/24/2021,No,Family Stage
211,49,Female,Medium,4-8 Lakh,Unemployed,Tier 2,6/1/2021,No,Family Stage
212,50,Male,Medium,4-8 Lakh,Student,Tier 3,7/23/2022,No,Family Stage
213,18,Female,Low,2-4 Lakh,Business,Tier 2,5/12/2020,No,Student
214,36,Female,Medium,4-8 Lakh,Self-Employed,Tier 1,4/5/2020,No,Mid Career
215,19,Female,Medium,4-8 Lakh,Salaried,Tier 1,2/27/2021,Yes,Student
216,61,Female,High,8+ Lakh,Unemployed,Tier 1,5/7/2022,Yes,Pre-Retirement
217,43,Male,Medium,4-8 Lakh,Self-Employed,Tier 1,8/31/2022,Yes,Family Stage
218,49,Female,Low,2-4 Lakh,Business,Tier 3,3/22/2020,No,Family Stage
219,23,Male,Low,2-4 Lakh,Self-Employed,Tier 1,2/27/2022,No,Early Career
220,49,Male,Medium,4-8 Lakh,Business,Tier 1,11/10/2020,No,Family Stage
221,21,Female,Medium,4-8 Lakh,Business,Tier 3,10/18/2024,Yes,Student
222,28,Male,High,8+ Lakh,Business,Tier 2,7/4/2022,No,Early Career
223,34,Female,Medium,4-8 Lakh,Unemployed,Tier 1,7/27/2023,No,Mid Career
224,55,Female,Medium,4-8 Lakh,Business,Tier 2,7/24/2024,No,Pre-Retirement
225,41,Male,Medium,4-8 Lakh,Self-Employed,Tier 1,1/14/2023,No,Family Stage
226,22,Female,Medium,4-8 Lakh,Student,Tier 2,2/6/2025,Yes,Student
227,51,Male,Low,2-4 Lakh,Self-Employed,Tier 3,12/31/2020,No,Family Stage
228,23,Male,Low,2-4 Lakh,Unemployed,Tier 3,1/22/2025,No,Early Career
229,39,Female,Medium,4-8 Lakh,Business,Tier 1,12/31/2020,No,Mid Career
230,28,Female,Low,2-4 Lakh,Student,Tier 1,1/21/2023,No,Early Career
231,33,Female,Low,2-4 Lakh,Unemployed,Tier 2,3/11/2020,No,Mid Career
232,50,Male,Low,2-4 Lakh,Salaried,Tier 1,11/21/2020,Yes,Family Stage
233,26,Female,Low,2-4 Lakh,Salaried,Tier 2,3/10/2024,No,Early Career
234,23,Male,Low,2-4 Lakh,Salaried,Tier 1,9/11/2023,No,Early Career
235,33,Male,Medium,4-8 Lakh,Student,Tier 2,4/23/2022,No,Mid Career
236,46,Female,Medium,4-8 Lakh,Self-Employed,Tier 3,4/29/2023,No,Family Stage
237,20,Female,Medium,4-8 Lakh,Student,Tier 3,8/1/2020,No,Student
238,37,Female,Medium,4-8 Lakh,Student,Tier 3,12/6/2022,No,Mid Career
239,53,Male,High,8+ Lakh,Student,Tier 1,10/19/2024,No,Family Stage
240,36,Female,Low,2-4 Lakh,Salaried,Tier 2,3/29/2020,Yes,Mid Career
241,43,Male,Medium,4-8 Lakh,Self-Employed,Tier 2,12/15/2024,No,Family Stage
242,20,Female,Low,2-4 Lakh,Student,Tier 3,9/22/2022,No,Student
243,36,Female,Medium,4-8 Lakh,Self-Employed,Tier 3,6/4/2023,Yes,Mid Career
244,37,Male,High,8+ Lakh,Business,Tier 3,11/21/2023,No,Mid Career
245,49,Male,Medium,4-8 Lakh,Student,Tier 3,8/4/2020,No,Family Stage
246,24,Female,Medium,4-8 Lakh,Student,Tier 2,11/10/2024,No,Early Career
247,58,Female,Medium,4-8 Lakh,Student,Tier 2,10/27/2020,No,Pre-Retirement
248,50,Female,Medium,4-8 Lakh,Business,Tier 3,12/10/2023,No,Family Stage
249,57,Female,Low,2-4 Lakh,Business,Tier 2,7/14/2022,Yes,Pre-Retirement
250,56,Female,Medium,4-8 Lakh,Salaried,Tier 3,5/2/2022,No,Pre-Retirement
251,35,Male,Medium,4-8 Lakh,Unemployed,Tier 3,6/12/2022,No,Mid Career
252,57,Male,Low,2-4 Lakh,Self-Employed,Tier 2,6/18/2020,No,Pre-Retirement
253,18,Male,Low,2-4 Lakh,Unemployed,Tier 1,10/20/2023,No,Student
254,28,Male,High,8+ Lakh,Student,Tier 1,6/9/2023,No,Early Career
255,45,Female,Low,2-4 Lakh,Student,Tier 1,9/11/2021,Yes,Family Stage
256,42,Male,Low,2-4 Lakh,Salaried,Tier 2,9/13/2023,No,Family Stage
257,40,Male,Medium,4-8 Lakh,Unemployed,Tier 2,6/10/2023,No,Family Stage
258,48,Male,Low,2-4 Lakh,Student,Tier 2,11/12/2021,No,Family Stage
259,47,Female,Medium,4-8 Lakh,Unemployed,Tier 2,7/28/2024,No,Family Stage
260,59,Male,Medium,4-8 Lakh,Salaried,Tier 3,10/4/2021,No,Pre-Retirement
261,52,Female,Medium,4-8 Lakh,Unemployed,Tier 1,2/6/2020,No,Family Stage
262,24,Male,Low,2-4 Lakh,Self-Employed,Tier 3,2/9/2022,No,Early Career
263,33,Female,Medium,4-8 Lakh,Salaried,Tier 1,11/26/2023,No,Mid Career
264,43,Male,High,8+ Lakh,Unemployed,Tier 2,10/7/2022,No,Family Stage
265,19,Female,Low,2-4 Lakh,Student,Tier 2,9/27/2021,No,Student
266,18,Male,Low,2-4 Lakh,Business,Tier 3,3/1/2021,No,Student
267,29,Female,High,8+ Lakh,Business,Tier 2,4/12/2025,No,Early Career
268,22,Female,Low,2-4 Lakh,Salaried,Tier 1,5/30/2025,No,Student
269,54,Male,Low,2-4 Lakh,Business,Tier 1,2/11/2021,Yes,Family Stage
270,49,Female,Low,2-4 Lakh,Self-Employed,Tier 1,2/13/2022,Yes,Family Stage
271,26,Female,Low,2-4 Lakh,Salaried,Tier 2,5/14/2022,No,Early Career
272,58,Male,Low,2-4 Lakh,Student,Tier 2,8/4/2020,No,Pre-Retirement
273,52,Male,Medium,4-8 Lakh,Student,Tier 2,6/18/2020,No,Family Stage
274,36,Female,Medium,4-8 Lakh,Salaried,Tier 3,9/1/2021,No,Mid Career
275,33,Male,Low,2-4 Lakh,Business,Tier 3,12/23/2020,No,Mid Career
276,20,Male,High,8+ Lakh,Business,Tier 2,7/4/2020,No,Student
277,37,Male,Medium,4-8 Lakh,Student,Tier 1,12/25/2021,No,Mid Career
278,41,Female,High,8+ Lakh,Self-Employed,Tier 3,5/19/2022,No,Family Stage
279,50,Female,High,8+ Lakh,Business,Tier 2,4/3/2022,No,Family Stage
280,41,Female,Medium,4-8 Lakh,Self-Employed,Tier 2,11/2/2024,No,Family Stage
281,28,Female,High,8+ Lakh,Business,Tier 2,5/31/2025,No,Early Career
282,25,Female,Medium,4-8 Lakh,Salaried,Tier 2,4/21/2025,No,Early Career
283,53,Female,High,8+ Lakh,Unemployed,Tier 3,11/9/2021,No,Family Stage
284,55,Female,Low,2-4 Lakh,Student,Tier 3,1/15/2025,No,Pre-Retirement
285,57,Male,Low,2-4 Lakh,Salaried,Tier 3,3/30/2023,No,Pre-Retirement
286,37,Female,Medium,4-8 Lakh,Business,Tier 3,10/10/2020,No,Mid Career
287,52,Female,Medium,4-8 Lakh,Student,Tier 3,7/2/2020,No,Family Stage
288,42,Male,High,8+ Lakh,Unemployed,Tier 1,4/9/2024,No,Family Stage
289,52,Male,High,8+ Lakh,Unemployed,Tier 3,5/21/2020,No,Family Stage
290,42,Male,Low,2-4 Lakh,Business,Tier 1,9/14/2024,Yes,Family Stage
291,46,Female,High,8+ Lakh,Student,Tier 2,6/7/2024,No,Family Stage
292,35,Male,Low,2-4 Lakh,Business,Tier 1,8/18/2020,No,Mid Career
293,63,Female,Low,2-4 Lakh,Unemployed,Tier 1,1/31/2024,No,Pre-Retirement
294,35,Female,Medium,4-8 Lakh,Salaried,Tier 1,4/10/2025,No,Mid Career
295,19,Female,Low,2-4 Lakh,Salaried,Tier 2,1/22/2021,No,Student
296,52,Male,Medium,4-8 Lakh,Self-Employed,Tier 2,1/4/2022,Yes,Family Stage
297,33,Male,Medium,4-8 Lakh,Unemployed,Tier 1,6/6/2020,No,Mid Career
298,58,Female,Low,2-4 Lakh,Unemployed,Tier 3,9/3/2023,No,Pre-Retirement
299,53,Female,Medium,4-8 Lakh,Business,Tier 3,4/23/2023,No,Family Stage
300,50,Female,Medium,4-8 Lakh,Self-Employed,Tier 3,12/15/2023,No,Family Stage
301,21,Male,Low,2-4 Lakh,Self-Employed,Tier 3,4/21/2023,No,Student
302,50,Female,Low,2-4 Lakh,Student,Tier 3,6/8/2024,No,Family Stage
303,31,Male,High,8+ Lakh,Business,Tier 3,7/30/2021,No,Mid Career
304,38,Female,High,8+ Lakh,Salaried,Tier 2,12/11/2022,No,Mid Career
305,37,Male,Low,2-4 Lakh,Student,Tier 2,10/23/2022,No,Mid Career
306,25,Female,Low,2-4 Lakh,Self-Employed,Tier 3,3/17/2020,No,Early Career
307,24,Male,High,8+ Lakh,Salaried,Tier 1,7/28/2024,Yes,Early Career
