customer_id,age,gender,income_bracket,income_range,occupation,city_tier,join_date,churn_flag,age_group,debit_amount,salary_amount,transaction_count,savings_ratio,spend_segment
36,61,Female,Medium,4-8 Lakh,Self-Employed,Tier 2,9/5/2023,No,Pre-Retirement,4184.77,0.0,3.0,0.0,Low
37,20,Female,Medium,4-8 Lakh,Business,Tier 3,1/23/2020,Yes,Student,6005.51,0.0,6.0,0.0,Low
38,54,Female,Medium,4-8 Lakh,Salaried,Tier 2,9/28/2021,No,Family Stage,4437.9400000000005,0.0,5.0,0.0,Low
39,24,Male,Medium,4-8 Lakh,Student,Tier 1,1/12/2023,No,Early Career,8449.460000000001,1448.96,7.0,0.17148551505066595,Low
40,38,Female,Medium,4-8 Lakh,Unemployed,Tier 3,12/11/2021,No,Mid Career,26298.629999999997,2707.03,12.0,0.10293425931312773,Medium
41,26,Male,Medium,4-8 Lakh,Salaried,Tier 2,9/11/2023,No,Early Career,8604.27,0.0,13.0,0.0,Low
42,56,Male,Medium,4-8 Lakh,Unemployed,Tier 3,11/29/2021,No,Pre-Retirement,7327.96,0.0,5.0,0.0,Low
43,35,Male,Low,2-4 Lakh,Business,Tier 1,11/24/2020,Yes,Mid Career,12902.5,2519.27,6.0,0.1952544080604534,Low
44,21,Male,Low,2-4 Lakh,Unemployed,Tier 3,6/15/2024,No,Student,16611.1,21684.239999999998,12.0,1.3054066256900507,Low
45,42,Male,Low,2-4 Lakh,Student,Tier 1,9/15/2023,No,Family Stage,15116.69,0.0,10.0,0.0,Low
46,31,Male,High,8+ Lakh,Business,Tier 1,9/13/2024,No,Mid Career,14508.13,0.0,8.0,0.0,Low
47,26,Female,Low,2-4 Lakh,Self-Employed,Tier 2,10/28/2024,No,Early Career,12348.23,0.0,11.0,0.0,Low
48,43,Male,Low,2-4 Lakh,Salaried,Tier 2,12/11/2021,Yes,Family Stage,12907.03,0.0,9.0,0.0,Low
49,19,Male,Low,2-4 Lakh,Unemployed,Tier 2,4/17/2021,Yes,Student,11822.52,0.0,8.0,0.0,Low
50,37,Male,Medium,4-8 Lakh,Business,Tier 2,4/22/2021,Yes,Mid Career,9314.880000000001,0.0,10.0,0.0,Low
51,45,Female,Low,2-4 Lakh,Business,Tier 1,6/12/2023,No,Family Stage,12752.16,0.0,11.0,0.0,Low
52,64,Female,Medium,4-8 Lakh,Unemployed,Tier 2,7/10/2022,No,Pre-Retirement,10028.56,0.0,5.0,0.0,Low
53,24,Male,Low,2-4 Lakh,Self-Employed,Tier 1,7/9/2021,No,Early Career,24414.49,0.0,14.0,0.0,Medium
54,61,Female,High,8+ Lakh,Unemployed,Tier 2,8/10/2021,Yes,Pre-Retirement,14528.75,0.0,7.0,0.0,Low
55,25,Male,High,8+ Lakh,Self-Employed,Tier 1,8/3/2024,Yes,Early Career,3179.4300000000003,0.0,6.0,0.0,Low
56,64,Female,High,8+ Lakh,Unemployed,Tier 1,11/24/2021,No,Pre-Retirement,8178.08,151.08,12.0,0.018473773795316263,Low
57,52,Male,Medium,4-8 Lakh,Business,Tier 3,4/28/2020,No,Family Stage,2821.72,0.0,3.0,0.0,Low
58,31,Female,Medium,4-8 Lakh,Student,Tier 1,11/29/2022,No,Mid Career,10475.27,7449.87,6.0,0.7111864419723787,Low
59,34,Female,Medium,4-8 Lakh,Student,Tier 2,9/16/2020,No,Mid Career,8846.5,0.0,6.0,0.0,Low
60,53,Female,Low,2-4 Lakh,Business,Tier 1,8/6/2022,No,Family Stage,3082.5499999999997,399.82,5.0,0.12970430325542165,Low
61,57,Male,Medium,4-8 Lakh,Student,Tier 1,1/25/2022,No,Pre-Retirement,20527.25,0.0,13.0,0.0,Medium
62,21,Male,Low,2-4 Lakh,Self-Employed,Tier 2,7/22/2024,No,Student,43106.28,0.0,17.0,0.0,Medium
63,19,Male,Medium,4-8 Lakh,Business,Tier 2,1/6/2020,Yes,Student,14287.52,0.0,9.0,0.0,Low
64,23,Female,Low,2-4 Lakh,Self-Employed,Tier 2,11/6/2020,No,Early Career,16579.65,0.0,12.0,0.0,Low
65,59,Female,Medium,4-8 Lakh,Business,Tier 3,3/6/2020,No,Pre-Retirement,5515.38,1844.5900000000001,7.0,0.3344447708045502,Low
66,21,Male,Medium,4-8 Lakh,Self-Employed,Tier 3,10/29/2023,No,Student,3517.67,4154.25,5.0,1.1809663783129174,Low
67,46,Female,Medium,4-8 Lakh,Self-Employed,Tier 3,12/31/2021,No,Family Stage,20801.550000000003,4140.79,12.0,0.1990616083897594,Medium
68,35,Male,High,8+ Lakh,Student,Tier 2,3/15/2023,No,Mid Career,27946.53,1263.79,15.0,0.04522171446687657,Medium
69,43,Male,Medium,4-8 Lakh,Business,Tier 2,6/11/2023,No,Family Stage,14462.03,4049.17,13.0,0.2799862813173531,Low
70,61,Male,Medium,4-8 Lakh,Unemployed,Tier 2,1/29/2020,No,Pre-Retirement,11378.87,3592.18,15.0,0.31568864043617684,Low
71,51,Male,Medium,4-8 Lakh,Student,Tier 2,1/18/2025,No,Family Stage,16287.74,0.0,8.0,0.0,Low
72,27,Female,Low,2-4 Lakh,Self-Employed,Tier 2,8/23/2024,Yes,Early Career,24322.39,0.0,12.0,0.0,Medium
73,53,Female,Medium,4-8 Lakh,Self-Employed,Tier 1,7/24/2024,No,Family Stage,13751.42,0.0,9.0,0.0,Low
74,31,Female,High,8+ Lakh,Unemployed,Tier 1,10/21/2021,No,Mid Career,36902.25,2001.41,16.0,0.054235446348122406,Medium
75,48,Male,High,8+ Lakh,Unemployed,Tier 1,6/18/2022,No,Family Stage,13678.81,740.52,9.0,0.05413628817126636,Low
76,32,Female,Medium,4-8 Lakh,Self-Employed,Tier 1,6/5/2024,No,Mid Career,13559.11,5330.26,9.0,0.39311282230175876,Low
77,25,Male,Low,2-4 Lakh,Unemployed,Tier 1,6/22/2022,No,Early Career,24558.53,0.0,13.0,0.0,Medium
78,31,Male,Low,2-4 Lakh,Salaried,Tier 2,2/2/2024,No,Mid Career,10537.11,0.0,7.0,0.0,Low
79,40,Male,Medium,4-8 Lakh,Student,Tier 1,12/26/2020,No,Family Stage,7897.209999999999,8135.96,12.0,1.0302321959274225,Low
80,57,Male,High,8+ Lakh,Business,Tier 2,2/20/2025,Yes,Pre-Retirement,22708.6,464.48,12.0,0.020453924944734594,Medium
81,38,Male,Medium,4-8 Lakh,Unemployed,Tier 3,6/6/2024,No,Mid Career,25351.66,2019.88,14.0,0.07967446707631769,Medium
82,33,Male,High,8+ Lakh,Unemployed,Tier 1,5/1/2025,No,Mid Career,16144.86,4019.8099999999995,7.0,0.24898388713187972,Low
83,62,Female,Medium,4-8 Lakh,Salaried,Tier 1,8/19/2022,Yes,Pre-Retirement,17623.3,2889.83,9.0,0.16397780211424648,Low
84,35,Female,Low,2-4 Lakh,Business,Tier 1,5/27/2024,No,Mid Career,14048.970000000001,3097.99,7.0,0.22051367466796495,Low
85,64,Female,Low,2-4 Lakh,Salaried,Tier 2,10/10/2023,No,Pre-Retirement,19856.65,5345.95,10.0,0.2692271858546129,Low
86,41,Female,Low,2-4 Lakh,Business,Tier 2,10/15/2024,No,Family Stage,33462.74,0.0,11.0,0.0,Medium
87,43,Male,Medium,4-8 Lakh,Student,Tier 2,1/26/2020,No,Family Stage,11867.039999999999,4239.22,12.0,0.35722640186600874,Low
88,42,Male,Low,2-4 Lakh,Unemployed,Tier 1,8/6/2023,No,Family Stage,20895.63,623.77,9.0,0.02985169626376424,Medium
89,62,Female,Medium,4-8 Lakh,Student,Tier 2,3/11/2020,Yes,Pre-Retirement,18471.940000000002,2781.77,9.0,0.15059436096046216,Low
90,58,Female,Medium,4-8 Lakh,Business,Tier 3,2/28/2025,No,Pre-Retirement,4797.84,0.0,1.0,0.0,Low
91,46,Female,Low,2-4 Lakh,Unemployed,Tier 1,9/8/2024,No,Family Stage,41982.58,3624.54,20.0,0.08633437964031748,Medium
92,32,Female,Low,2-4 Lakh,Salaried,Tier 3,1/17/2023,Yes,Mid Career,16311.9,14235.43,11.0,0.8727021377031493,Low
93,62,Female,Low,2-4 Lakh,Self-Employed,Tier 2,6/25/2020,No,Pre-Retirement,3538.61,0.0,5.0,0.0,Low
94,18,Female,Medium,4-8 Lakh,Salaried,Tier 1,6/15/2025,No,Student,26567.78,7217.839999999999,12.0,0.27167644417410863,Medium
95,42,Female,Medium,4-8 Lakh,Self-Employed,Tier 2,1/27/2020,Yes,Family Stage,4704.6900000000005,1082.46,5.0,0.2300810467852292,Low
96,24,Female,Low,2-4 Lakh,Salaried,Tier 1,6/7/2025,No,Early Career,16701.489999999998,5595.95,15.0,0.33505693204618275,Low
97,26,Male,High,8+ Lakh,Business,Tier 1,8/5/2023,No,Early Career,14865.75,0.0,12.0,0.0,Low
98,41,Male,Medium,4-8 Lakh,Student,Tier 1,4/19/2022,No,Family Stage,10037.36,0.0,14.0,0.0,Low
99,18,Male,Medium,4-8 Lakh,Self-Employed,Tier 1,3/27/2022,Yes,Student,16318.84,0.0,11.0,0.0,Low
100,61,Male,Medium,4-8 Lakh,Business,Tier 1,7/28/2021,No,Pre-Retirement,4634.4,0.0,8.0,0.0,Low
101,25,Female,High,8+ Lakh,Student,Tier 2,5/5/2025,Yes,Early Career,23172.72,0.0,12.0,0.0,Medium
102,41,Male,Medium,4-8 Lakh,Student,Tier 3,9/26/2022,No,Family Stage,16518.870000000003,850.4499999999999,9.0,0.0514835457873329,Low
103,28,Female,Medium,4-8 Lakh,Unemployed,Tier 2,6/14/2021,No,Early Career,14517.33,0.0,10.0,0.0,Low
104,34,Male,Low,2-4 Lakh,Unemployed,Tier 2,2/16/2024,No,Mid Career,15541.02,512.09,9.0,0.0329508616551552,Low
105,25,Female,Medium,4-8 Lakh,Unemployed,Tier 3,12/28/2023,No,Early Career,51588.91,0.0,12.0,0.0,High
106,52,Female,Medium,4-8 Lakh,Self-Employed,Tier 1,5/7/2021,No,Family Stage,13652.3,0.0,7.0,0.0,Low
107,52,Male,Medium,4-8 Lakh,Self-Employed,Tier 1,10/4/2020,No,Family Stage,37854.19,0.0,17.0,0.0,Medium
108,50,Male,High,8+ Lakh,Student,Tier 2,9/25/2022,No,Family Stage,24865.71,2421.41,15.0,0.09737948363428994,Medium
109,22,Female,High,8+ Lakh,Self-Employed,Tier 2,10/1/2023,No,Student,10571.22,103.73,13.0,0.009812490895090634,Low
110,59,Female,Low,2-4 Lakh,Student,Tier 1,5/21/2024,Yes,Pre-Retirement,30030.97,0.0,14.0,0.0,Medium
111,56,Female,Low,2-4 Lakh,Business,Tier 2,6/15/2023,No,Pre-Retirement,10518.36,979.99,6.0,0.09316946748352405,Low
112,58,Male,Low,2-4 Lakh,Salaried,Tier 1,3/6/2023,No,Pre-Retirement,19120.41,0.0,18.0,0.0,Low
113,45,Male,Medium,4-8 Lakh,Student,Tier 2,4/1/2023,No,Family Stage,13067.82,5532.2,15.0,0.4233452863599284,Low
114,24,Female,Low,2-4 Lakh,Student,Tier 2,4/18/2022,No,Early Career,20709.27,3943.08,11.0,0.19040168967810067,Medium
115,26,Male,Low,2-4 Lakh,Business,Tier 3,4/26/2022,Yes,Early Career,25269.3,0.0,8.0,0.0,Medium
116,25,Female,Low,2-4 Lakh,Unemployed,Tier 3,6/18/2022,No,Early Career,5315.48,0.0,4.0,0.0,Low
117,29,Male,Low,2-4 Lakh,Unemployed,Tier 2,10/19/2020,Yes,Early Career,5041.99,0.0,7.0,0.0,Low
118,51,Male,Low,2-4 Lakh,Unemployed,Tier 1,11/17/2022,No,Family Stage,10200.89,0.0,7.0,0.0,Low
119,50,Male,Low,2-4 Lakh,Student,Tier 2,9/12/2020,No,Family Stage,6055.26,0.0,7.0,0.0,Low
120,40,Male,Medium,4-8 Lakh,Student,Tier 1,6/23/2022,Yes,Family Stage,21636.45,0.0,8.0,0.0,Medium
121,41,Male,Low,2-4 Lakh,Self-Employed,Tier 3,12/31/2024,No,Family Stage,16261.150000000001,0.0,9.0,0.0,Low
122,54,Female,Low,2-4 Lakh,Self-Employed,Tier 3,7/5/2024,No,Family Stage,20881.74,0.0,8.0,0.0,Medium
123,52,Female,High,8+ Lakh,Salaried,Tier 2,11/10/2024,Yes,Family Stage,27345.11,1791.42,15.0,0.06551153021509147,Medium
124,61,Male,High,8+ Lakh,Salaried,Tier 3,11/13/2024,No,Pre-Retirement,13227.24,0.0,9.0,0.0,Low
125,57,Female,Low,2-4 Lakh,Self-Employed,Tier 2,10/26/2021,No,Pre-Retirement,18884.86,7172.97,11.0,0.37982648534328556,Low
126,39,Female,Low,2-4 Lakh,Student,Tier 1,9/21/2020,No,Mid Career,15505.41,3359.31,9.0,0.21665405816421493,Low
127,44,Male,Medium,4-8 Lakh,Business,Tier 2,6/3/2025,No,Family Stage,11484.52,0.0,11.0,0.0,Low
128,52,Female,Low,2-4 Lakh,Self-Employed,Tier 2,5/6/2024,No,Family Stage,9994.39,0.0,7.0,0.0,Low
129,18,Male,Low,2-4 Lakh,Student,Tier 3,2/13/2024,Yes,Student,18354.55,0.0,7.0,0.0,Low
130,52,Female,Low,2-4 Lakh,Self-Employed,Tier 1,2/4/2021,Yes,Family Stage,5076.72,0.0,7.0,0.0,Low
131,54,Female,Low,2-4 Lakh,Unemployed,Tier 3,4/4/2021,No,Family Stage,39077.0,1212.51,18.0,0.03102873813240525,Medium
132,64,Female,Medium,4-8 Lakh,Self-Employed,Tier 2,2/15/2022,No,Pre-Retirement,8234.71,0.0,4.0,0.0,Low
133,31,Female,High,8+ Lakh,Unemployed,Tier 3,5/8/2024,No,Mid Career,4772.25,13346.09,9.0,2.7966032793755566,Low
134,20,Female,Medium,4-8 Lakh,Student,Tier 1,3/2/2023,No,Student,39728.4,0.0,13.0,0.0,Medium
135,18,Female,Medium,4-8 Lakh,Unemployed,Tier 2,10/17/2022,No,Student,10256.82,1739.32,8.0,0.1695769254018302,Low
136,22,Female,Medium,4-8 Lakh,Self-Employed,Tier 3,4/29/2023,No,Student,6064.21,1939.83,13.0,0.3198817323278712,Low
137,43,Male,Medium,4-8 Lakh,Unemployed,Tier 2,2/21/2023,No,Family Stage,12565.07,1122.12,11.0,0.08930471537365092,Low
138,31,Male,Medium,4-8 Lakh,Business,Tier 1,12/25/2023,No,Mid Career,5496.08,0.0,9.0,0.0,Low
139,56,Male,Low,2-4 Lakh,Unemployed,Tier 2,5/26/2023,No,Pre-Retirement,32321.36,2170.13,18.0,0.06714228609192188,Medium
140,44,Male,Medium,4-8 Lakh,Unemployed,Tier 3,3/15/2025,No,Family Stage,29226.11,0.0,10.0,0.0,Medium
141,26,Female,High,8+ Lakh,Salaried,Tier 2,2/6/2021,No,Early Career,17687.32,755.85,13.0,0.04273400379480894,Low
142,32,Female,Low,2-4 Lakh,Business,Tier 2,9/21/2022,No,Mid Career,14108.170000000002,0.0,8.0,0.0,Low
143,32,Female,High,8+ Lakh,Student,Tier 3,9/7/2023,No,Mid Career,21517.58,795.05,9.0,0.0369488576317597,Medium
144,43,Male,Medium,4-8 Lakh,Unemployed,Tier 2,10/27/2020,No,Family Stage,13064.35,0.0,8.0,0.0,Low
145,59,Male,Medium,4-8 Lakh,Business,Tier 3,12/30/2022,No,Pre-Retirement,12283.560000000001,446.11,7.0,0.036317647326996404,Low
146,30,Male,Low,2-4 Lakh,Student,Tier 2,6/15/2025,No,Mid Career,5892.25,0.0,6.0,0.0,Low
147,49,Female,Medium,4-8 Lakh,Business,Tier 1,8/1/2020,No,Family Stage,11617.57,0.0,14.0,0.0,Low
148,56,Male,High,8+ Lakh,Salaried,Tier 1,5/23/2022,No,Pre-Retirement,13964.08,0.0,11.0,0.0,Low
149,49,Female,Medium,4-8 Lakh,Student,Tier 1,4/17/2024,No,Family Stage,14694.09,0.0,7.0,0.0,Low
150,21,Male,Low,2-4 Lakh,Student,Tier 2,1/8/2021,No,Student,23538.92,2499.56,14.0,0.10618838927189524,Medium
151,47,Female,Low,2-4 Lakh,Unemployed,Tier 2,9/21/2023,No,Family Stage,18150.74,0.0,13.0,0.0,Low
152,54,Male,Medium,4-8 Lakh,Self-Employed,Tier 3,4/9/2023,No,Family Stage,17636.36,0.0,11.0,0.0,Low
153,40,Female,Medium,4-8 Lakh,Student,Tier 3,12/9/2020,No,Family Stage,19680.379999999997,0.0,10.0,0.0,Low
154,56,Male,Medium,4-8 Lakh,Student,Tier 1,1/19/2024,No,Pre-Retirement,28299.01,411.49,13.0,0.0145407913563054,Medium
155,62,Male,High,8+ Lakh,Salaried,Tier 2,5/11/2022,No,Pre-Retirement,9644.98,665.59,8.0,0.06900895595428919,Low
156,32,Female,Medium,4-8 Lakh,Salaried,Tier 2,12/4/2023,No,Mid Career,13527.35,0.0,11.0,0.0,Low
157,60,Female,Medium,4-8 Lakh,Salaried,Tier 1,10/27/2020,No,Pre-Retirement,12314.74,0.0,6.0,0.0,Low
158,46,Male,Low,2-4 Lakh,Unemployed,Tier 2,2/28/2024,No,Family Stage,6422.8,2485.76,8.0,0.3870212368437442,Low
159,53,Female,Low,2-4 Lakh,Student,Tier 1,8/7/2023,No,Family Stage,20419.36,0.0,12.0,0.0,Medium
160,30,Male,Medium,4-8 Lakh,Salaried,Tier 1,1/18/2022,No,Mid Career,17166.25,742.12,12.0,0.0432313405665186,Low
161,49,Female,High,8+ Lakh,Salaried,Tier 1,2/15/2025,No,Family Stage,13404.34,9495.5,15.0,0.7083899692189246,Low
162,24,Male,Medium,4-8 Lakh,Business,Tier 3,3/12/2021,Yes,Early Career,10058.66,387.46,13.0,0.03852004143693096,Low
163,39,Female,Medium,4-8 Lakh,Business,Tier 2,4/11/2020,No,Mid Career,40443.69,0.0,11.0,0.0,Medium
164,45,Male,Low,2-4 Lakh,Salaried,Tier 2,1/10/2020,No,Family Stage,22324.71,0.0,14.0,0.0,Medium
165,19,Male,High,8+ Lakh,Unemployed,Tier 2,11/30/2022,No,Student,9238.869999999999,257.11,7.0,0.027829160925524447,Low
166,59,Male,High,8+ Lakh,Self-Employed,Tier 1,1/4/2021,No,Pre-Retirement,11841.17,0.0,9.0,0.0,Low
167,62,Female,Medium,4-8 Lakh,Business,Tier 1,5/5/2020,Yes,Pre-Retirement,24830.170000000002,0.0,15.0,0.0,Medium
168,23,Male,Low,2-4 Lakh,Business,Tier 1,2/23/2022,No,Early Career,16167.3,3827.33,8.0,0.2367327877876949,Low
169,45,Female,Medium,4-8 Lakh,Student,Tier 1,1/17/2021,No,Family Stage,16620.82,0.0,9.0,0.0,Low
170,45,Female,High,8+ Lakh,Student,Tier 3,11/22/2020,No,Family Stage,17151.03,0.0,10.0,0.0,Low
171,61,Female,Medium,4-8 Lakh,Salaried,Tier 2,3/25/2021,No,Pre-Retirement,12749.78,0.0,9.0,0.0,Low
172,61,Male,Medium,4-8 Lakh,Student,Tier 1,6/6/2021,No,Pre-Retirement,8591.449999999999,1732.84,4.0,0.2016935441630924,Low
173,37,Female,Low,2-4 Lakh,Student,Tier 1,1/28/2025,No,Mid Career,28691.74,0.0,13.0,0.0,Medium
174,47,Female,Low,2-4 Lakh,Self-Employed,Tier 2,10/6/2022,No,Family Stage,23298.57,0.0,12.0,0.0,Medium
175,28,Female,Low,2-4 Lakh,Unemployed,Tier 2,9/26/2024,Yes,Early Career,1498.35,2062.97,6.0,1.3768278439616912,Low
176,45,Male,High,8+ Lakh,Salaried,Tier 2,7/30/2022,No,Family Stage,18890.68,0.0,12.0,0.0,Low
177,42,Female,Medium,4-8 Lakh,Self-Employed,Tier 1,4/4/2024,No,Family Stage,11361.57,288.3,9.0,0.02537501419258078,Low
178,56,Female,Medium,4-8 Lakh,Salaried,Tier 2,4/16/2025,No,Pre-Retirement,6631.08,0.0,5.0,0.0,Low
179,50,Female,Low,2-4 Lakh,Unemployed,Tier 1,9/9/2022,No,Family Stage,10641.42,0.0,9.0,0.0,Low
180,18,Female,High,8+ Lakh,Salaried,Tier 3,9/29/2020,No,Student,22329.56,353.08,12.0,0.015812223796617578,Medium
181,44,Male,High,8+ Lakh,Student,Tier 1,5/16/2021,No,Family Stage,8106.070000000001,0.0,7.0,0.0,Low
182,30,Male,Low,2-4 Lakh,Unemployed,Tier 1,11/5/2024,Yes,Mid Career,17588.99,0.0,9.0,0.0,Low
183,58,Female,High,8+ Lakh,Self-Employed,Tier 2,2/19/2024,Yes,Pre-Retirement,7685.160000000001,11175.16,11.0,1.454121970134649,Low
184,20,Female,Low,2-4 Lakh,Self-Employed,Tier 1,5/5/2025,No,Student,10627.17,0.0,8.0,0.0,Low
185,56,Female,Low,2-4 Lakh,Business,Tier 2,6/4/2023,No,Pre-Retirement,28474.739999999998,0.0,11.0,0.0,Medium
186,23,Female,Low,2-4 Lakh,Self-Employed,Tier 1,6/4/2023,No,Early Career,23188.559999999998,0.0,15.0,0.0,Medium
187,25,Male,High,8+ Lakh,Business,Tier 1,5/15/2022,No,Early Career,11974.6,0.0,7.0,0.0,Low
188,44,Male,High,8+ Lakh,Student,Tier 3,12/6/2020,No,Family Stage,15323.539999999999,0.0,12.0,0.0,Low
189,26,Male,Low,2-4 Lakh,Self-Employed,Tier 1,9/28/2020,Yes,Early Career,11387.39,0.0,5.0,0.0,Low
190,54,Male,Medium,4-8 Lakh,Unemployed,Tier 1,12/19/2024,No,Family Stage,15019.89,0.0,9.0,0.0,Low
191,50,Female,Medium,4-8 Lakh,Business,Tier 1,1/29/2021,No,Family Stage,9427.09,0.0,6.0,0.0,Low
192,59,Female,High,8+ Lakh,Self-Employed,Tier 3,2/21/2023,No,Pre-Retirement,23233.73,268.37,9.0,0.0115508788300458,Medium
193,61,Male,Low,2-4 Lakh,Student,Tier 2,6/28/2022,Yes,Pre-Retirement,8898.07,396.35,8.0,0.04454336726953149,Low
194,41,Male,Medium,4-8 Lakh,Unemployed,Tier 3,7/13/2020,No,Family Stage,7262.48,0.0,10.0,0.0,Low
195,32,Female,Medium,4-8 Lakh,Unemployed,Tier 3,5/25/2024,No,Mid Career,11972.79,698.35,10.0,0.05832809228258409,Low
196,49,Female,Low,2-4 Lakh,Student,Tier 3,11/2/2024,No,Family Stage,7251.63,2182.7000000000003,9.0,0.3009943971217506,Low
197,49,Female,Low,2-4 Lakh,Self-Employed,Tier 2,4/11/2023,Yes,Family Stage,17193.17,6774.5599999999995,15.0,0.39402623250976987,Low
198,41,Female,Medium,4-8 Lakh,Salaried,Tier 3,5/11/2023,No,Family Stage,4690.78,311.35,10.0,0.06637488861127575,Low
199,58,Female,Low,2-4 Lakh,Self-Employed,Tier 2,11/22/2022,No,Pre-Retirement,19659.780000000002,0.0,12.0,0.0,Low
200,29,Male,High,8+ Lakh,Business,Tier 3,7/29/2020,No,Early Career,21324.29,1684.62,11.0,0.07900005111541814,Medium
